subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Kristy Sargeant,have-citizenship-of,Canada,P27,Kristy Sargeant has a citizenship of,"Complete the sentence. Answer with one word. ""Kristy Sargeant has a citizenship of""",Canada
Szymon Szymonowic,is-citizen-of,Poland,P27,Szymon Szymonowic is a citizen of,"Complete the sentence. Answer with one word. ""Szymon Szymonowic is a citizen of""",Poland
Gianni Lancia,have-citizenship-of,Italy,P27,Gianni Lancia has a citizenship of,"Complete the sentence. Answer with one word. ""Gianni Lancia has a citizenship of""",Italian
Brad Gushue,have-citizenship-of,Canada,P27,Brad Gushue has a citizenship of,"Complete the sentence. Answer with one word. ""Brad Gushue has a citizenship of""",Canada
Hsieh Cheng-peng,is-citizen-of,Taiwan,P27,Hsieh Cheng-peng is a citizen of,"Complete the sentence. Answer with one word. ""Hsieh Cheng-peng is a citizen of""",Taiwan
Subodh Kant Sahay,is-citizen-of,India,P27,Subodh Kant Sahay is a citizen of,"Complete the sentence. Answer with one word. ""Subodh Kant Sahay is a citizen of""",India
Scott Brison,have-citizenship-of,Canada,P27,Scott Brison has a citizenship of,"Complete the sentence. Answer with one word. ""Scott Brison has a citizenship of""",Canada
Patricia Conroy,have-citizenship-of,Canada,P27,Patricia Conroy has a citizenship of,"Complete the sentence. Answer with one word. ""Patricia Conroy has a citizenship of""",Canada
Jithan Ramesh,is-citizen-of,India,P27,Jithan Ramesh is a citizen of,"Complete the sentence. Answer with one word. ""Jithan Ramesh is a citizen of""",India
Minamoto no Yoshinaka,hold-citizenship-of,Japan,P27,Minamoto no Yoshinaka holds a citizenship of,"Complete the sentence. Answer with one word. ""Minamoto no Yoshinaka holds a citizenship of""",Japan
Sakichi Toyoda,hold-citizenship-of,Japan,P27,Sakichi Toyoda holds a citizenship of,"Complete the sentence. Answer with one word. ""Sakichi Toyoda holds a citizenship of""",Japan
Ho Chi Minh,have-citizenship-of,Vietnam,P27,"Ho Chi Minh, who has a citizenship of","Complete the sentence. Answer with one word. ""Ho Chi Minh, who has a citizenship of""",Vietnam
Henrik Zetterberg,have-citizenship-of,Sweden,P27,"Henrik Zetterberg, who has a citizenship of","Complete the sentence. Answer with one word. ""Henrik Zetterberg, who has a citizenship of""",Sweden
Thomas Ong,have-citizenship-of,Singapore,P27,"Thomas Ong, who has a citizenship of","Complete the sentence. Answer with one word. ""Thomas Ong, who has a citizenship of""",Malaysia
Madan Lal,have-citizenship-of,India,P27,Madan Lal has a citizenship of,"Complete the sentence. Answer with one word. ""Madan Lal has a citizenship of""",India
Dawid Janowski,have-citizenship-of,Poland,P27,"Dawid Janowski, who has a citizenship of","Complete the sentence. Answer with one word. ""Dawid Janowski, who has a citizenship of""",France
Charles de Salaberry,have-citizenship-of,Canada,P27,Charles de Salaberry has a citizenship of,"Complete the sentence. Answer with one word. ""Charles de Salaberry has a citizenship of""",Canada
Mehmet Ali Aybar,is-citizen-of,Turkey,P27,Mehmet Ali Aybar is a citizen of,"Complete the sentence. Answer with one word. ""Mehmet Ali Aybar is a citizen of""",Turkey
Sadeq Larijani,citizen-of,Iran,P27,"Sadeq Larijani, a citizen of","Complete the sentence. Answer with one word. ""Sadeq Larijani, a citizen of""",Iran
Monica Niculescu,is-citizen-of,Romania,P27,Monica Niculescu is a citizen of,"Complete the sentence. Answer with one word. ""Monica Niculescu is a citizen of""",Romania
Vita Semerenko,have-citizenship-of,Ukraine,P27,"Vita Semerenko, who has a citizenship of","Complete the sentence. Answer with one word. ""Vita Semerenko, who has a citizenship of""",Ukraine
Ada Yonath,hold-citizenship-of,Israel,P27,"Ada Yonath, who holds a citizenship of","Complete the sentence. Answer with one word. ""Ada Yonath, who holds a citizenship of""",Israel
Henri Maurice Berteaux,is-citizen-of,France,P27,Henri Maurice Berteaux is a citizen of,"Complete the sentence. Answer with one word. ""Henri Maurice Berteaux is a citizen of""",France
Kazimierz Makarczyk,is-citizen-of,Poland,P27,Kazimierz Makarczyk is a citizen of,"Complete the sentence. Answer with one word. ""Kazimierz Makarczyk is a citizen of""",Poland
Bernard Lietaer,have-citizenship-of,Belgium,P27,"Bernard Lietaer, who has a citizenship of","Complete the sentence. Answer with one word. ""Bernard Lietaer, who has a citizenship of""",Belgium
Stephen Worobetz,have-citizenship-of,Canada,P27,Stephen Worobetz has a citizenship of,"Complete the sentence. Answer with one word. ""Stephen Worobetz has a citizenship of""",Canada
Jean Bobet,citizen-of,France,P27,"Jean Bobet, who is a citizen of","Complete the sentence. Answer with one word. ""Jean Bobet, who is a citizen of""",France
Cheikh Anta Diop,have-citizenship-of,Senegal,P27,"Cheikh Anta Diop, who has a citizenship of","Complete the sentence. Answer with one word. ""Cheikh Anta Diop, who has a citizenship of""",Senegal
Stephen Low,have-citizenship-of,Canada,P27,Stephen Low has a citizenship of,"Complete the sentence. Answer with one word. ""Stephen Low has a citizenship of""",Canadian
Paul Duchesnay,hold-citizenship-of,France,P27,Paul Duchesnay holds a citizenship of,"Complete the sentence. Answer with one word. ""Paul Duchesnay holds a citizenship of""",France
Katsuhiko Nagata,is-citizen-of,Japan,P27,Katsuhiko Nagata is a citizen of,"Complete the sentence. Answer with one word. ""Katsuhiko Nagata is a citizen of""",Japan
Mahavira,have-citizenship-of,India,P27,Mahavira has a citizenship of,"Complete the sentence. Answer with one word. ""Mahavira has a citizenship of""",India
Bimal Roy,have-citizenship-of,India,P27,Bimal Roy has a citizenship of,"Complete the sentence. Answer with one word. ""Bimal Roy has a citizenship of""",India
Idris I of Morocco,have-citizenship-of,Morocco,P27,Idris I of Morocco has a citizenship of,"Complete the sentence. Answer with one word. ""Idris I of Morocco has a citizenship of""",Morocco
Raheem Shah,have-citizenship-of,Pakistan,P27,"Raheem Shah, who has a citizenship of","Complete the sentence. Answer with one word. ""Raheem Shah, who has a citizenship of""",Pakistan
Paavo Haavikko,is-citizen-of,Finland,P27,Paavo Haavikko is a citizen of,"Complete the sentence. Answer with one word. ""Paavo Haavikko is a citizen of""",Finland
Ken Okuyama,is-citizen-of,Japan,P27,Ken Okuyama is a citizen of,"Complete the sentence. Answer with one word. ""Ken Okuyama is a citizen of""",Japan
Jean Victor Marie Moreau,is-citizen-of,France,P27,Jean Victor Marie Moreau is a citizen of,"Complete the sentence. Answer with one word. ""Jean Victor Marie Moreau is a citizen of""",France
Jaishankar,have-citizenship-of,India,P27,Jaishankar has a citizenship of,"Complete the sentence. Answer with one word. ""Jaishankar has a citizenship of""",India
John Queen,have-citizenship-of,Canada,P27,John Queen has a citizenship of,"Complete the sentence. Answer with one word. ""John Queen has a citizenship of""",Canada
Jean-Pierre Van Rossem,have-citizenship-of,Belgium,P27,"Jean-Pierre Van Rossem, who has a citizenship of","Complete the sentence. Answer with one word. ""Jean-Pierre Van Rossem, who has a citizenship of""",Belgium
Matsukata Masayoshi,have-citizenship-of,Japan,P27,Matsukata Masayoshi has a citizenship of,"Complete the sentence. Answer with one word. ""Matsukata Masayoshi has a citizenship of""",Japan
Abolfazl Jalili,is-citizen-of,Iran,P27,Abolfazl Jalili is a citizen of,"Complete the sentence. Answer with one word. ""Abolfazl Jalili is a citizen of""",Iran
Shah Shujah Durrani Sadozai,citizen-of,Afghanistan,P27,"Shah Shujah Durrani Sadozai, a citizen of","Complete the sentence. Answer with one word. ""Shah Shujah Durrani Sadozai, a citizen of""",Afghanistan
Ashim Ahluwalia,have-citizenship-of,India,P27,Ashim Ahluwalia has a citizenship of,"Complete the sentence. Answer with one word. ""Ashim Ahluwalia has a citizenship of""",India
Nicolas Godin,have-citizenship-of,France,P27,"Nicolas Godin, who has a citizenship of","Complete the sentence. Answer with one word. ""Nicolas Godin, who has a citizenship of""",France
Giovanni Ferrari,is-citizen-of,Italy,P27,Giovanni Ferrari is a citizen of,"Complete the sentence. Answer with one word. ""Giovanni Ferrari is a citizen of""",Italy
Yasuyuki Kase,hold-citizenship-of,Japan,P27,Yasuyuki Kase holds a citizenship of,"Complete the sentence. Answer with one word. ""Yasuyuki Kase holds a citizenship of""",Japan
Duiliu Zamfirescu,is-citizen-of,Romania,P27,Duiliu Zamfirescu is a citizen of,"Complete the sentence. Answer with one word. ""Duiliu Zamfirescu is a citizen of""",Romania
Nagendra Singh,have-citizenship-of,India,P27,Nagendra Singh has a citizenship of,"Complete the sentence. Answer with one word. ""Nagendra Singh has a citizenship of""",India
Doug Saunders,have-citizenship-of,Canada,P27,Doug Saunders has a citizenship of,"Complete the sentence. Answer with one word. ""Doug Saunders has a citizenship of""",Canadian
Honinbo Shuei,have-citizenship-of,Japan,P27,Honinbo Shuei has a citizenship of,"Complete the sentence. Answer with one word. ""Honinbo Shuei has a citizenship of""",Japan
Duvvuri Subbarao,have-citizenship-of,India,P27,Duvvuri Subbarao has a citizenship of,"Complete the sentence. Answer with one word. ""Duvvuri Subbarao has a citizenship of""",India
Dan Bejar,have-citizenship-of,Canada,P27,Dan Bejar has a citizenship of,"Complete the sentence. Answer with one word. ""Dan Bejar has a citizenship of""",Canada
Kunihiko Yasui,hold-citizenship-of,Japan,P27,Kunihiko Yasui holds a citizenship of,"Complete the sentence. Answer with one word. ""Kunihiko Yasui holds a citizenship of""",Japan
Paolo Bertoli,have-citizenship-of,Italy,P27,Paolo Bertoli has a citizenship of,"Complete the sentence. Answer with one word. ""Paolo Bertoli has a citizenship of""",Italy
Margaret Atwood,hold-citizenship-of,Canada,P27,Margaret Atwood holds a citizenship of,"Complete the sentence. Answer with one word. ""Margaret Atwood holds a citizenship of""",Canada
Kalraj Mishra,have-citizenship-of,India,P27,Kalraj Mishra has a citizenship of,"Complete the sentence. Answer with one word. ""Kalraj Mishra has a citizenship of""",India
Sunidhi Chauhan,have-citizenship-of,India,P27,Sunidhi Chauhan has a citizenship of,"Complete the sentence. Answer with one word. ""Sunidhi Chauhan has a citizenship of""",India
Alan Carvalho,have-citizenship-of,Brazil,P27,Alan Carvalho has a citizenship of,"Complete the sentence. Answer with one word. ""Alan Carvalho has a citizenship of""",Brazil
Kevin Pauwels,have-citizenship-of,Belgium,P27,"Kevin Pauwels, who has a citizenship of","Complete the sentence. Answer with one word. ""Kevin Pauwels, who has a citizenship of""",Belgium
Massimo D'Alema,hold-citizenship-of,Italy,P27,"Massimo D'Alema, who holds a citizenship of","Complete the sentence. Answer with one word. ""Massimo D'Alema, who holds a citizenship of""",Italy
Mykola Tomenko,is-citizen-of,Ukraine,P27,Mykola Tomenko is a citizen of,"Complete the sentence. Answer with one word. ""Mykola Tomenko is a citizen of""",Ukraine
Ernest Blanc,hold-citizenship-of,France,P27,"Ernest Blanc, who holds a citizenship of","Complete the sentence. Answer with one word. ""Ernest Blanc, who holds a citizenship of""",France
Emmanuelle Seigner,citizen-of,France,P27,"Emmanuelle Seigner, who is a citizen of","Complete the sentence. Answer with one word. ""Emmanuelle Seigner, who is a citizen of""",France
Satoshi Tsumabuki,hold-citizenship-of,Japan,P27,Satoshi Tsumabuki holds a citizenship of,"Complete the sentence. Answer with one word. ""Satoshi Tsumabuki holds a citizenship of""",Japan
Magnus Carlsen,citizen-of,Norway,P27,"Magnus Carlsen, a citizen of","Complete the sentence. Answer with one word. ""Magnus Carlsen, a citizen of""",Norway
Giovanni Guidetti,citizen-of,Italy,P27,"Giovanni Guidetti, who is a citizen of","Complete the sentence. Answer with one word. ""Giovanni Guidetti, who is a citizen of""",Italy
Ryoji Ikeda,is-citizen-of,Japan,P27,Ryoji Ikeda is a citizen of,"Complete the sentence. Answer with one word. ""Ryoji Ikeda is a citizen of""",Japan
Yoko Moriguchi,is-citizen-of,Japan,P27,Yoko Moriguchi is a citizen of,"Complete the sentence. Answer with one word. ""Yoko Moriguchi is a citizen of""",Japan
Etsushi Toyokawa,hold-citizenship-of,Japan,P27,Etsushi Toyokawa holds a citizenship of,"Complete the sentence. Answer with one word. ""Etsushi Toyokawa holds a citizenship of""",Japan
Maurice Bellemare,have-citizenship-of,Canada,P27,Maurice Bellemare has a citizenship of,"Complete the sentence. Answer with one word. ""Maurice Bellemare has a citizenship of""",Canada
Antoine Danchet,is-citizen-of,France,P27,Antoine Danchet is a citizen of,"Complete the sentence. Answer with one word. ""Antoine Danchet is a citizen of""",France
Vincenzo Santopadre,have-citizenship-of,Italy,P27,"Vincenzo Santopadre, who has a citizenship of","Complete the sentence. Answer with one word. ""Vincenzo Santopadre, who has a citizenship of""",Italian
Zeev Rechter,is-citizen-of,Israel,P27,Zeev Rechter is a citizen of,"Complete the sentence. Answer with one word. ""Zeev Rechter is a citizen of""",Israel
Miguel Duhamel,have-citizenship-of,Canada,P27,Miguel Duhamel has a citizenship of,"Complete the sentence. Answer with one word. ""Miguel Duhamel has a citizenship of""",Canada
Go Shiozaki,have-citizenship-of,Japan,P27,Go Shiozaki has a citizenship of,"Complete the sentence. Answer with one word. ""Go Shiozaki has a citizenship of""",Japan
Derrick Dalley,have-citizenship-of,Canada,P27,Derrick Dalley has a citizenship of,"Complete the sentence. Answer with one word. ""Derrick Dalley has a citizenship of""",Canadian
Prince Aly Khan,have-citizenship-of,Pakistan,P27,"Prince Aly Khan, who has a citizenship of","Complete the sentence. Answer with one word. ""Prince Aly Khan, who has a citizenship of""",Pakistan
Pasi Rautiainen,is-citizen-of,Finland,P27,Pasi Rautiainen is a citizen of,"Complete the sentence. Answer with one word. ""Pasi Rautiainen is a citizen of""",Finland
Francisco Goya,have-citizenship-of,Spain,P27,"Francisco Goya, who has a citizenship of","Complete the sentence. Answer with one word. ""Francisco Goya, who has a citizenship of""",Spain
Henriette Caillaux,is-citizen-of,France,P27,Henriette Caillaux is a citizen of,"Complete the sentence. Answer with one word. ""Henriette Caillaux is a citizen of""",France
